1,bI7D0GM1Ttc,"what happens when the clown gets on his knees?","the 3 dancers behind start to dance"
2,YOdkgd7chU4,"Why is the complexion color of the character changed?","The character's complexion color is changed to show race swapping makes a difference."
3,PhbFtE8rY08,"What happened with the first white skeleton on a Minecraft video?","A black and purple character knocked its head off."
4,p6ROEIkABNM,"How many heart Emoji are in the video?","One"
5,gE758Vwu8eU,"What does the young man do after being asked how can he sleep at night with life size dummy characters in his room?","He lies down in bed and turns the lights off."
6,dFEwjlyOq5w,"Out of the ten golf clubs shown in this video","The driver."
7,jpFQMj8o810,"What are all these men in suits doing?","They are the leaders of China and are coming in to be introduced."
8,fiMrM-56TQM,"Why was the motorcycle delivered to the young man?","He is a repeat world champion motorcycle racer."
9,Wa0GOWjolE0,"What does this woman use to apply multiple colors to her fingernails after a basecoat dries?","A dotting tool."
10,cNz-eixU2pM,"What happens to the red apple at the end of the video?","At the end of the video the red apple is sad because the green one got eaten and not it."
11,hX97styRmFg,"What did this man do after finding grandmother?","He walked her to his car and she got in the car."
12,YcxXUmoHvEw,"Who saves what from whom?","a man sliding on a slippery floor grabs and rescues two people who are about to be buried by an avalanche."
13,vHBN7hHV3lc,"in what part of the video do we see a moving car?","first"
14,QExdkfDedDE,"What happens after a woman's cell phone gives an alert while sitting next to her boyfriend?","The boyfriend gives her a dirty look because she didn't answer it."
15,UUSKExFDwLk,"Why are the kids climbing the stairs?","To slide down the adjacent stairs. "
16,QzW0H36E-K0,"what happens when an adult teaches a child to draw a bear?","Following simple directions, the child draws a bear"
17,g2LFphgr6MQ,"What happens after a bull runs out of a pin?","The bull runs out of a pin and runs into another bull."
18,W96kJVgSEjQ,"What is happening in this video?","A man and woman take turns singing while three different flash cards are being shown."
19,nKGq88R8aoQ,"What happened when the young man sat down in a chair in front of a mirror?","The young man gets his hair done by a stylist."
20,aauTFfgtGos,"What happens to the girl rollerblading in a rink?","The girl fell to her knees."
21,rtnxZzToiMw,"How long do you have to wear an orthodontic expander?","Six to nine months."
22,WvT2Ba7IGaY,"what is the breed of the third dog in the video?","Doberman Pincher"
23,pEO3-LtxNxw,"What are the monks in the background doing?","Sweeping the floor with whisk brooms."
24,Ui0hAqfQ3JE,"Why are all these monsters being shown?","They are auditioning for a new sci-fi film."
25,pRKqOEZRU8M,"Why is a man yelling at a delivery man who is throwing a package at his house?","A man is yelling outside a window to the delivery man because he throws his packages and they get broken."
26,vpINloTOhFQ,"What was made with specific folds in a sheet of paper?","A paper popper using the technique of origami."
27,qF1wAQgzp9M,"What does the dog have to do to get a treat?","Sit down."
28,aXpr5oR-Khg,"Why is everyone turning around looking at a woman walking after they pass her?","The woman is drinking a beer with a straw walking down the street very early  in the morning."
29,uh4aCkQPQHo,"Does this couple look like they are in love? ","No, they look too solemn."
30,YOXYg_444ZE,"What did the little boy do after riding is motorized play car into a room?","The little boy parked the car in between two other play cards in the room."
31,eET2xa8fLI4,"How has the character of Hulk changed over the years?","He has grown from a 7 foot tall character to a 12 foot tall character."
32,vnfm6hTIdig,"What happens after the green man comes onto the screen?","He pushes the blue man down a hole."
33,qTBp5T3IWCk,"what is advertised here?","toys"
34,gO86kOpHEUI,"What made a gun fire?","A person loads a gun, closes it and after pulling the trigger several times, it goes off."
35,pnQL31kbBYY,"What does this video show?","It shows the reactions of four different older people to a young woman wearing jeans with torn legs into a restaurant."
36,Z-Kh5aSJSbw,"how many hats in the video?","one"
37,aNe1HzsHwE4,"what kind of fence is this?","electrical"
38,pn4k7sSxEt8,"What is the male cartoon trying to do?","Explain something to the female cartoon"
39,xgOGF67kHkc,"What's the main selling feature of the motorcycle?","Speed."
40,spjwe1DZjeo,"What chemical is being mixed?","I don't know."
41,mH9zqgtog2o,"why do mosquito bites cause a skin  reaction?","the mosquito injects anti coagulants to keep the blood flowing  "
42,nR3hoz-r7Ho,"Why does the man yell at the young woman?","She has written on the table with permanent marker, which he can actually remove."
43,wa42hQvjGwE,"what is the second emoji masked used?","a carved pumpkin"
44,VEXDcWyyNH4,"Does Cisco threaten the guy with the chicken?","Yes, it looks like he does."
45,kSqyaRUdGI0,"what happens after the guy blows a kiss?","the girl starts dancing"
46,zUllE_ZeOZ0,"how many BMW logos do we see in the video?","two"
47,pN5KmJc2OwQ,"What instrument is mainly heard in this video?","Recorder."
48,ieL3NeTk02Q,"Why are these two young me flexing their muscles?","They are showing how well developed they are after 9 months working out in a gym."
49,qXzTJ0bYGrk,"What word in the lyrics is prominent in the vocal music in this video?","Memories."
50,zfnm_xQKu9k,"Why did the woman use a knife to slice open a jar of peanut butter?","The woman sliced the jar of peanut butter in half so that she could dip her banana in it."
51,flLZEm_ue1Y,"What is the man in the video talking about?","He is telling student drivers what things to pay attention to, including the colors of the street lights."
52,g_d71YEFEvI,"What is the man talking about on the video?","The man is talking about a video he is watching."
53,RZBBx-QCces,"What happens by the end of the video?","A couple is arguing and the woman runs away and he catches her and kisses her."
54,dGIjkjiCHPU,"how many lit candles we see in the video?","four"
55,vnPwcoJtLlk,"What makes the man explode?","The woman's evil eye."
